['wieldier', [(1, 2), (2, 1), (3, 1), (3, 2), (3, 3), (2, 2), (1, 1), (0, 2)]]
['regild', [(0, 2), (1, 1), (2, 0), (2, 1), (3, 2), (3, 3)]]
['oilier', [(1, 0), (2, 1), (3, 2), (2, 2), (1, 1), (0, 2)]]
['wilier', [(1, 2), (2, 1), (3, 2), (2, 2), (1, 1), (0, 2)]]
['lieger', [(3, 2), (2, 1), (3, 1), (2, 0), (1, 1), (0, 2)]]
['reoil', [(0, 2), (1, 1), (1, 0), (2, 1), (3, 0)]]
['reoil', [(0, 2), (1, 1), (1, 0), (2, 1), (3, 2)]]
['regie', [(0, 2), (1, 1), (2, 0), (2, 1), (3, 1)]]
['wield', [(1, 2), (2, 1), (3, 1), (3, 2), (3, 3)]]
['pilei', [(1, 3), (2, 2), (3, 2), (3, 1), (2, 1)]]
['leger', [(3, 2), (3, 1), (2, 0), (1, 1), (0, 2)]]
['liege', [(3, 2), (2, 1), (3, 1), (2, 0), (1, 1)]]
['hoer', [(0, 1), (1, 0), (1, 1), (0, 2)]]
['heil', [(0, 1), (1, 1), (2, 2), (3, 2)]]
['heid', [(0, 1), (1, 1), (2, 2), (3, 3)]]
['rego', [(0, 2), (1, 1), (2, 0), (1, 0)]]
['ogle', [(1, 0), (2, 0), (3, 0), (3, 1)]]
['eild', [(3, 1), (2, 2), (3, 2), (3, 3)]]
['eger', [(3, 1), (2, 0), (1, 1), (0, 2)]]
['wiel', [(1, 2), (2, 1), (3, 1), (3, 2)]]
['wili', [(1, 2), (2, 1), (3, 2), (2, 2)]]
['wile', [(1, 2), (2, 1), (3, 2), (3, 1)]]
['wild', [(1, 2), (2, 1), (3, 2), (3, 3)]]
['weil', [(1, 2), (1, 1), (2, 2), (3, 2)]]
['weid', [(1, 2), (1, 1), (2, 2), (3, 3)]]
['pile', [(1, 3), (2, 2), (3, 2), (3, 1)]]
['pili', [(1, 3), (2, 2), (3, 2), (2, 1)]]
['goer', [(2, 0), (1, 0), (1, 1), (0, 2)]]
['glei', [(2, 0), (3, 0), (3, 1), (2, 2)]]
['gild', [(2, 0), (2, 1), (3, 2), (3, 3)]]
['geld', [(2, 0), (3, 1), (3, 2), (3, 3)]]
['idle', [(2, 2), (3, 3), (3, 2), (3, 1)]]
['ciel', [(2, 3), (2, 2), (3, 1), (3, 2)]]
['cleg', [(2, 3), (3, 2), (3, 1), (2, 0)]]
['diel', [(3, 3), (2, 2), (3, 1), (3, 2)]]
['hoh', [(0, 1), (1, 0), (0, 0)]]
['hog', [(0, 1), (1, 0), (2, 0)]]
['hoe', [(0, 1), (1, 0), (1, 1)]]
['hoi', [(0, 1), (1, 0), (2, 1)]]
['hew', [(0, 1), (1, 1), (1, 2)]]
['heh', [(0, 1), (1, 1), (0, 0)]]
['her', [(0, 1), (1, 1), (0, 2)]]
['rho', [(0, 2), (0, 1), (1, 0)]]
['reh', [(0, 2), (1, 1), (0, 0)]]
['rei', [(0, 2), (1, 1), (2, 2)]]
['reo', [(0, 2), (1, 1), (1, 0)]]
['rew', [(0, 2), (1, 1), (1, 2)]]
['reg', [(0, 2), (1, 1), (2, 0)]]
['oil', [(1, 0), (2, 1), (3, 2)]]
['err', [(1, 1), (0, 2), (0, 3)]]
['ego', [(3, 1), (2, 0), (1, 0)]]
['wig', [(1, 2), (2, 1), (2, 0)]]
['who', [(1, 2), (0, 1), (1, 0)]]
['pre', [(1, 3), (0, 2), (1, 1)]]
['pic', [(1, 3), (2, 2), (2, 3)]]
['pie', [(1, 3), (2, 2), (3, 1)]]
['goe', [(2, 0), (1, 0), (1, 1)]]
['gie', [(2, 0), (2, 1), (3, 1)]]
['gio', [(2, 0), (2, 1), (1, 0)]]
['gel', [(2, 0), (3, 1), (3, 2)]]
['iwi', [(2, 2), (1, 2), (2, 1)]]
['cid', [(2, 3), (2, 2), (3, 3)]]
['lei', [(3, 2), (3, 1), (2, 2)]]
['leg', [(3, 2), (3, 1), (2, 0)]]
['lie', [(3, 2), (2, 1), (3, 1)]]
['lig', [(3, 2), (2, 1), (2, 0)]]
['eld', [(3, 1), (3, 2), (3, 3)]]
['die', [(3, 3), (2, 2), (3, 1)]]
['dip', [(3, 3), (2, 2), (1, 3)]]
